0	7
1	6
2	7
3	10
4	6
5	6
6	8
7	9
8	6
9	7
10	8
11	6
12	7
13	7
14	6
15	15
16	6
17	7
18	6
19	6
20	7
21	6
22	8
23	6
24	7
25	10
26	6
27	6
28	9
29	6
30	10
31	6
32	6
33	11
34	6
35	7
36	6
37	6
38	6
39	7
40	7
41	8
42	8
43	10
44	6
45	6
46	6
47	5
48	6
49	12
50	8
51	18
52	8
53	8
54	9
55	6
56	6
57	11
58	7
59	7
60	6
61	6
62	8
63	15
64	10
65	6
66	7
67	7
68	6
69	6
70	21
71	9
72	7
73	10
74	6
75	9
76	8
77	6
78	7
79	6
80	7
81	6
82	6
83	7
84	6
85	14
86	6
87	7
88	7
89	7
90	6
91	6
92	8
93	6
94	6
95	5
96	6
97	7
98	7
99	7
100	8
101	7
102	6
103	12
104	8
105	8
